k=0.800,k=0.825,k=0.850,k=0.875,k=0.900,k=0.925,k=0.950,k=0.975,k=1.000,k=1.025,k=1.050,k=1.075,k=1.100,k=1.125,k=1.150,k=1.175,T,Price,Strike
0.468070,0.466636,0.465242,0.463886,0.462566,0.461280,0.460026,0.458803,0.457610,0.456444,0.455305,0.454192,0.453103,0.452037,0.450995,0.449974,1.084015,0.038634,0.627051
0.818063,0.816463,0.814922,0.813438,0.812008,0.810628,0.809296,0.808010,0.806767,0.805565,0.804402,0.803277,0.802187,0.801132,0.800109,0.799117,0.705455,0.064439,0.602246
0.537461,0.536410,0.535485,0.534681,0.533990,0.533406,0.532923,0.532535,0.532236,0.532021,0.531884,0.531820,0.531824,0.531891,0.532016,0.532195,0.898244,0.159818,0.949512
0.717684,0.717584,0.717487,0.717392,0.717301,0.717212,0.717125,0.717040,0.716958,0.716878,0.716800,0.716723,0.716648,0.716575,0.716504,0.716434,0.855194,0.177319,0.856738
0.568453,0.562627,0.556917,0.551318,0.545827,0.540442,0.535160,0.529979,0.524898,0.519917,0.515036,0.510254,0.505572,0.500991,0.496513,0.492138,0.715281,0.340596,1.260449
0.665126,0.664077,0.663067,0.662095,0.661159,0.660256,0.659385,0.658544,0.657732,0.656946,0.656187,0.655451,0.654740,0.654050,0.653382,0.652734,0.332041,0.058191,0.784473
0.641053,0.638104,0.635224,0.632408,0.629653,0.626956,0.624314,0.621725,0.619185,0.616694,0.614247,0.611844,0.609483,0.607161,0.604878,0.602631,1.682973,0.256088,0.895410
0.616134,0.615989,0.615866,0.615761,0.615675,0.615605,0.615550,0.615509,0.615482,0.615466,0.615462,0.615468,0.615485,0.615510,0.615544,0.615586,1.401276,0.350200,1.095020
0.742552,0.742428,0.742308,0.742191,0.742077,0.741967,0.741860,0.741756,0.741655,0.741556,0.741460,0.741366,0.741274,0.741185,0.741097,0.741012,0.714345,0.164777,0.878809
0.629998,0.629301,0.628680,0.628130,0.627647,0.627227,0.626864,0.626557,0.626300,0.626091,0.625926,0.625804,0.625720,0.625672,0.625659,0.625677,1.240774,0.481651,1.287793
0.830574,0.828482,0.826454,0.824485,0.822573,0.820714,0.818907,0.817148,0.815435,0.813767,0.812141,0.810555,0.809008,0.807497,0.806022,0.804581,1.234222,0.155408,0.660840
0.751330,0.749049,0.746864,0.744771,0.742765,0.740841,0.738996,0.737225,0.735525,0.733893,0.732326,0.730820,0.729374,0.727983,0.726647,0.725362,1.288971,0.548714,1.331152
0.819824,0.819321,0.818902,0.818560,0.818290,0.818087,0.817946,0.817862,0.817832,0.817851,0.817917,0.818025,0.818173,0.818357,0.818576,0.818826,0.967967,0.430983,1.174707
0.767059,0.764784,0.762566,0.760402,0.758289,0.756225,0.754206,0.752232,0.750299,0.748406,0.746551,0.744731,0.742947,0.741195,0.739476,0.737787,0.732127,0.314690,1.115332
0.710282,0.704511,0.698885,0.693398,0.688047,0.682828,0.677738,0.672775,0.667935,0.663218,0.658621,0.654141,0.649779,0.645532,0.641399,0.637378,1.499542,0.165101,0.703027
0.694107,0.692049,0.690053,0.688117,0.686236,0.684410,0.682633,0.680906,0.679224,0.677587,0.675992,0.674437,0.672921,0.671442,0.669999,0.668590,1.861725,0.613822,1.355957
