k=0.800,k=0.825,k=0.850,k=0.875,k=0.900,k=0.925,k=0.950,k=0.975,k=1.000,k=1.025,k=1.050,k=1.075,k=1.100,k=1.125,k=1.150,k=1.175,T,Price,Strike
0.822743,0.820495,0.818326,0.816232,0.814209,0.812253,0.810361,0.808530,0.806758,0.805040,0.803376,0.801762,0.800197,0.798678,0.797203,0.795772,1.146718,0.448418,1.169824
0.661169,0.658525,0.655966,0.653489,0.651090,0.648765,0.646511,0.644325,0.642205,0.640148,0.638152,0.636213,0.634331,0.632503,0.630727,0.629001,0.219737,0.298061,1.257324
0.546601,0.542203,0.537916,0.533736,0.529659,0.525681,0.521798,0.518009,0.514308,0.510695,0.507166,0.503718,0.500351,0.497062,0.493849,0.490710,1.740061,0.095969,0.620410
0.488395,0.487259,0.486256,0.485380,0.484624,0.483983,0.483450,0.483019,0.482684,0.482440,0.482279,0.482198,0.482190,0.482250,0.482374,0.482556,0.097605,0.011598,0.601855
0.366242,0.360473,0.354948,0.349683,0.344693,0.339995,0.335604,0.331537,0.327809,0.324432,0.321415,0.318762,0.316472,0.314540,0.312955,0.311702,1.519196,0.168429,1.019434
0.653817,0.648806,0.643886,0.639050,0.634293,0.629612,0.625002,0.620459,0.615979,0.611559,0.607196,0.602886,0.598627,0.594417,0.590253,0.586133,1.112559,0.205100,0.904590
0.736100,0.735577,0.735070,0.734577,0.734097,0.733630,0.733175,0.732732,0.732299,0.731877,0.731465,0.731062,0.730668,0.730282,0.729905,0.729535,1.121918,0.480359,1.247168
0.619506,0.616761,0.614166,0.611712,0.609394,0.607206,0.605142,0.603197,0.601366,0.599644,0.598026,0.596509,0.595086,0.593755,0.592512,0.591352,1.721344,0.233338,0.868262
0.671955,0.671892,0.671830,0.671771,0.671713,0.671657,0.671602,0.671549,0.671498,0.671448,0.671399,0.671351,0.671305,0.671259,0.671215,0.671172,0.332977,0.442750,1.396777
0.622844,0.622557,0.622280,0.622012,0.621753,0.621503,0.621261,0.621026,0.620799,0.620578,0.620364,0.620155,0.619953,0.619756,0.619564,0.619377,0.960948,0.114365,0.751855
0.727770,0.726109,0.724540,0.723057,0.721657,0.720334,0.719085,0.717906,0.716793,0.715744,0.714755,0.713823,0.712946,0.712120,0.711344,0.710614,0.169200,0.218017,1.164160
0.559561,0.556036,0.552585,0.549204,0.545889,0.542637,0.539445,0.536309,0.533228,0.530198,0.527218,0.524285,0.521397,0.518553,0.515751,0.512989,1.337636,0.108771,0.725293
0.563352,0.556053,0.548924,0.541972,0.535203,0.528627,0.522253,0.516094,0.510162,0.504470,0.499030,0.493857,0.488961,0.484353,0.480040,0.476029,0.866892,0.098073,0.803809
0.330301,0.329278,0.328389,0.327628,0.326989,0.326467,0.326054,0.325745,0.325534,0.325414,0.325380,0.325424,0.325542,0.325728,0.325975,0.326280,0.495819,0.076620,0.963184
0.574826,0.566317,0.557898,0.549562,0.541306,0.533126,0.525022,0.516994,0.509047,0.501185,0.493419,0.485763,0.478235,0.470860,0.463665,0.456687,0.167796,0.386949,1.376074
0.443903,0.437890,0.432009,0.426257,0.420630,0.415129,0.409750,0.404494,0.399360,0.394348,0.389459,0.384695,0.380056,0.375545,0.371163,0.366912,1.168243,0.134435,0.917871
0.540576,0.539641,0.538787,0.538011,0.537307,0.536670,0.536098,0.535586,0.535131,0.534728,0.534376,0.534071,0.533811,0.533592,0.533412,0.533269,0.642283,0.074983,0.801270
0.426325,0.424996,0.423715,0.422482,0.421294,0.420148,0.419042,0.417975,0.416944,0.415949,0.414987,0.414057,0.413158,0.412288,0.411447,0.410632,1.556630,0.114818,0.837988
0.319240,0.318158,0.317127,0.316144,0.315206,0.314311,0.313456,0.312641,0.311864,0.311121,0.310413,0.309737,0.309093,0.308478,0.307891,0.307332,1.988068,0.125506,0.918457
0.559406,0.559089,0.558781,0.558482,0.558192,0.557910,0.557635,0.557368,0.557107,0.556853,0.556606,0.556364,0.556128,0.555897,0.555672,0.555451,1.031606,0.183550,0.948145
0.566777,0.564570,0.562587,0.560820,0.559260,0.557896,0.556720,0.555722,0.554892,0.554222,0.553701,0.553321,0.553073,0.552948,0.552938,0.553034,1.276337,0.082282,0.700879
0.746301,0.743420,0.740673,0.738052,0.735554,0.733172,0.730903,0.728741,0.726681,0.724721,0.722856,0.721082,0.719395,0.717793,0.716272,0.714828,0.501434,0.288451,1.139941
0.421136,0.417974,0.415015,0.412256,0.409696,0.407333,0.405163,0.403182,0.401388,0.399774,0.398337,0.397069,0.395964,0.395015,0.394215,0.393556,0.771434,0.138133,1.000684
0.676327,0.674426,0.672683,0.671091,0.669645,0.668336,0.667160,0.666109,0.665177,0.664359,0.663648,0.663038,0.662524,0.662100,0.661761,0.661502,0.217397,0.036971,0.720801
0.475793,0.473953,0.472201,0.470532,0.468943,0.467430,0.465990,0.464619,0.463315,0.462074,0.460894,0.459773,0.458708,0.457696,0.456736,0.455825,1.341848,0.307382,1.134082
0.767154,0.762922,0.758812,0.754819,0.750938,0.747162,0.743489,0.739913,0.736431,0.733040,0.729735,0.726515,0.723375,0.720313,0.717328,0.714415,1.365712,0.244454,0.838184
0.553269,0.551941,0.550774,0.549759,0.548887,0.548151,0.547543,0.547053,0.546676,0.546404,0.546230,0.546148,0.546151,0.546233,0.546388,0.546611,1.752228,0.276579,0.966309
0.577188,0.577170,0.577153,0.577136,0.577120,0.577105,0.577090,0.577075,0.577061,0.577047,0.577033,0.577020,0.577007,0.576994,0.576982,0.576970,0.952057,0.437724,1.295410
0.624120,0.620897,0.617847,0.614964,0.612241,0.609674,0.607256,0.604983,0.602850,0.600851,0.598981,0.597236,0.595610,0.594099,0.592698,0.591403,0.857066,0.359821,1.234473
0.286433,0.286089,0.285773,0.285484,0.285219,0.284978,0.284759,0.284560,0.284381,0.284220,0.284075,0.283947,0.283834,0.283734,0.283648,0.283575,1.091034,0.031965,0.754785
0.694383,0.692342,0.690367,0.688453,0.686598,0.684799,0.683052,0.681356,0.679708,0.678105,0.676547,0.675030,0.673553,0.672114,0.670712,0.669346,1.049388,0.141116,0.745215
0.680826,0.677828,0.674897,0.672030,0.669223,0.666473,0.663777,0.661133,0.658538,0.655989,0.653485,0.651024,0.648603,0.646221,0.643877,0.641568,1.290375,0.506825,1.323145
0.543042,0.542087,0.541159,0.540257,0.539380,0.538526,0.537695,0.536884,0.536093,0.535321,0.534567,0.533831,0.533111,0.532406,0.531717,0.531042,0.242666,0.380983,1.375293
0.647465,0.644023,0.640708,0.637513,0.634433,0.631463,0.628598,0.625833,0.623165,0.620590,0.618104,0.615703,0.613385,0.611145,0.608982,0.606893,1.652557,0.151365,0.686816
0.637888,0.636627,0.635401,0.634207,0.633044,0.631910,0.630804,0.629724,0.628669,0.627638,0.626630,0.625643,0.624677,0.623731,0.622804,0.621895,1.970286,0.163392,0.722363
0.596366,0.591711,0.587159,0.582704,0.578341,0.574067,0.569879,0.565772,0.561744,0.557791,0.553912,0.550104,0.546364,0.542691,0.539083,0.535538,1.741465,0.485559,1.309082
0.716158,0.715535,0.714932,0.714350,0.713786,0.713240,0.712711,0.712197,0.711699,0.711215,0.710744,0.710286,0.709841,0.709407,0.708984,0.708572,1.889333,0.426125,1.079980
0.809039,0.808135,0.807338,0.806641,0.806037,0.805519,0.805084,0.804724,0.804435,0.804212,0.804051,0.803948,0.803899,0.803899,0.803947,0.804038,1.874359,0.207459,0.684473
0.474843,0.470430,0.466082,0.461795,0.457564,0.453385,0.449254,0.445169,0.441125,0.437120,0.433152,0.429217,0.425312,0.421437,0.417588,0.413765,1.431691,0.456831,1.370410
0.418575,0.412737,0.407014,0.401406,0.395913,0.390537,0.385281,0.380150,0.375147,0.370280,0.365555,0.360982,0.356569,0.352325,0.348260,0.344384,0.303497,0.122059,1.070801
0.589598,0.584127,0.578755,0.573479,0.568293,0.563194,0.558177,0.553240,0.548380,0.543594,0.538880,0.534235,0.529659,0.525149,0.520704,0.516322,1.635244,0.167256,0.778613
0.370140,0.363332,0.357003,0.351233,0.346115,0.341738,0.338190,0.335533,0.333802,0.332989,0.333044,0.333886,0.335407,0.337495,0.340039,0.342937,0.641347,0.085630,0.943457
0.523361,0.518050,0.512968,0.508117,0.503503,0.499131,0.495006,0.491132,0.487511,0.484147,0.481040,0.478189,0.475591,0.473242,0.471137,0.469267,0.735870,0.137460,0.944629
0.468815,0.463545,0.458486,0.453640,0.449012,0.444606,0.440426,0.436477,0.432761,0.429282,0.426040,0.423038,0.420273,0.417745,0.415448,0.413378,1.660512,0.369855,1.233301
0.399178,0.398556,0.397954,0.397368,0.396798,0.396244,0.395705,0.395179,0.394667,0.394167,0.393679,0.393203,0.392737,0.392282,0.391836,0.391401,1.257151,0.173026,0.986035
0.270733,0.265434,0.260285,0.255302,0.250500,0.245899,0.241521,0.237388,0.233524,0.229953,0.226695,0.223768,0.221184,0.218948,0.217060,0.215509,1.635712,0.325237,1.292871
0.328786,0.314109,0.299014,0.283410,0.267179,0.250186,0.232259,0.213186,0.192702,0.170494,0.146280,0.120616,0.099003,0.088880,0.085534,0.084930,0.694692,0.040957,0.872559
0.696631,0.696498,0.696370,0.696247,0.696130,0.696017,0.695908,0.695804,0.695703,0.695606,0.695512,0.695422,0.695334,0.695250,0.695168,0.695089,0.637136,0.481129,1.351465
0.461249,0.457331,0.453601,0.450063,0.446719,0.443572,0.440625,0.437881,0.435342,0.433009,0.430882,0.428958,0.427236,0.425711,0.424376,0.423224,0.212718,0.015095,0.728613
0.550523,0.549827,0.549153,0.548499,0.547864,0.547248,0.546648,0.546065,0.545497,0.544944,0.544404,0.543878,0.543364,0.542863,0.542373,0.541894,1.528086,0.522671,1.366113
0.401561,0.400847,0.400207,0.399638,0.399135,0.398694,0.398311,0.397983,0.397706,0.397477,0.397293,0.397151,0.397049,0.396984,0.396953,0.396955,1.409231,0.311629,1.197949
0.450051,0.444992,0.440110,0.435408,0.430891,0.426564,0.422433,0.418504,0.414785,0.411280,0.407996,0.404938,0.402107,0.399506,0.397135,0.394990,0.234711,0.249709,1.230566
0.822987,0.819027,0.815166,0.811401,0.807726,0.804138,0.800631,0.797204,0.793851,0.790570,0.787359,0.784214,0.781132,0.778113,0.775153,0.772250,0.819163,0.487641,1.308105
0.642107,0.641747,0.641410,0.641093,0.640796,0.640516,0.640254,0.640007,0.639775,0.639557,0.639353,0.639160,0.638979,0.638810,0.638650,0.638501,0.729787,0.367397,1.208105
0.740621,0.740580,0.740540,0.740502,0.740466,0.740431,0.740398,0.740367,0.740336,0.740307,0.740280,0.740253,0.740228,0.740203,0.740179,0.740157,1.961395,0.380765,0.967871
0.788442,0.787813,0.787229,0.786687,0.786185,0.785719,0.785288,0.784889,0.784520,0.784180,0.783866,0.783578,0.783313,0.783070,0.782849,0.782647,0.740082,0.237309,0.946973
0.748564,0.745416,0.742404,0.739522,0.736765,0.734128,0.731605,0.729193,0.726887,0.724682,0.722576,0.720563,0.718642,0.716807,0.715055,0.713385,1.919281,0.281354,0.830566
0.310302,0.308672,0.307148,0.305727,0.304407,0.303186,0.302062,0.301033,0.300095,0.299245,0.298481,0.297800,0.297197,0.296671,0.296215,0.295828,0.421885,0.367591,1.369238
0.792650,0.791394,0.790172,0.788984,0.787827,0.786700,0.785601,0.784528,0.783481,0.782458,0.781457,0.780479,0.779522,0.778585,0.777667,0.776767,0.837413,0.129812,0.727441
0.712385,0.709743,0.707170,0.704662,0.702215,0.699826,0.697492,0.695211,0.692981,0.690799,0.688663,0.686571,0.684521,0.682511,0.680541,0.678608,0.566010,0.267671,1.095801
0.560885,0.560824,0.560765,0.560708,0.560653,0.560599,0.560546,0.560495,0.560446,0.560397,0.560350,0.560304,0.560260,0.560216,0.560173,0.560131,0.182770,0.212634,1.189551
0.658116,0.654536,0.651051,0.647659,0.644354,0.641132,0.637991,0.634926,0.631935,0.629015,0.626163,0.623377,0.620654,0.617992,0.615390,0.612845,1.544932,0.485984,1.261816
0.887611,0.886523,0.885473,0.884458,0.883476,0.882527,0.881607,0.880716,0.879852,0.879013,0.878198,0.877407,0.876637,0.875889,0.875161,0.874452,0.409251,0.061463,0.607520
0.708215,0.706083,0.704007,0.701983,0.700010,0.698084,0.696203,0.694365,0.692568,0.690809,0.689088,0.687402,0.685750,0.684131,0.682543,0.680984,1.742869,0.392771,1.082715
0.385824,0.376336,0.366822,0.357268,0.347663,0.337995,0.328254,0.318430,0.308516,0.298502,0.288385,0.278160,0.267828,0.257392,0.246864,0.236262,1.036753,0.040227,0.749121
0.530808,0.529783,0.528812,0.527891,0.527017,0.526187,0.525400,0.524652,0.523943,0.523269,0.522630,0.522023,0.521447,0.520900,0.520381,0.519889,0.190725,0.091961,0.998535
0.671973,0.671096,0.670249,0.669430,0.668638,0.667871,0.667128,0.666407,0.665708,0.665029,0.664369,0.663727,0.663103,0.662496,0.661904,0.661328,1.049856,0.124245,0.745410
0.711947,0.710992,0.710073,0.709188,0.708336,0.707514,0.706721,0.705954,0.705214,0.704498,0.703805,0.703134,0.702484,0.701855,0.701244,0.700651,0.279165,0.066275,0.821582
0.362478,0.356220,0.350290,0.344757,0.339703,0.335224,0.331416,0.328368,0.326140,0.324756,0.324194,0.324387,0.325242,0.326649,0.328499,0.330692,0.457916,0.076900,0.979199
0.768841,0.767714,0.766623,0.765567,0.764543,0.763551,0.762588,0.761652,0.760743,0.759859,0.758999,0.758161,0.757345,0.756550,0.755775,0.755018,1.568329,0.478061,1.171191
0.685100,0.677535,0.670068,0.662690,0.655395,0.648177,0.641030,0.633948,0.626927,0.619961,0.613048,0.606182,0.599361,0.592581,0.585839,0.579133,1.132212,0.440504,1.289160
0.889112,0.886955,0.884859,0.882819,0.880834,0.878899,0.877013,0.875172,0.873376,0.871622,0.869907,0.868231,0.866591,0.864986,0.863415,0.861875,0.186513,0.188457,1.059863
0.399599,0.395037,0.390558,0.386157,0.381833,0.377584,0.373410,0.369311,0.365287,0.361338,0.357467,0.353676,0.349968,0.346345,0.342812,0.339373,0.240794,0.099628,1.056934
0.779540,0.778820,0.778126,0.777456,0.776809,0.776183,0.775578,0.774991,0.774423,0.773872,0.773337,0.772817,0.772313,0.771822,0.771345,0.770881,1.788727,0.274540,0.796973
0.643064,0.640078,0.637223,0.634493,0.631883,0.629386,0.626999,0.624716,0.622533,0.620445,0.618450,0.616543,0.614720,0.612979,0.611316,0.609728,1.669403,0.372750,1.100098
0.635681,0.633487,0.631383,0.629365,0.627429,0.625571,0.623788,0.622076,0.620433,0.618855,0.617340,0.615885,0.614488,0.613147,0.611859,0.610622,0.912282,0.241828,1.029590
0.712429,0.705256,0.698187,0.691215,0.684333,0.677536,0.670818,0.664174,0.657600,0.651091,0.644643,0.638254,0.631921,0.625639,0.619408,0.613226,0.104624,0.060527,0.944238
0.668407,0.664837,0.661368,0.657996,0.654717,0.651526,0.648419,0.645393,0.642444,0.639570,0.636767,0.634033,0.631365,0.628761,0.626218,0.623735,1.278208,0.549233,1.386621
0.447111,0.445877,0.444758,0.443747,0.442838,0.442026,0.441307,0.440674,0.440122,0.439648,0.439247,0.438914,0.438645,0.438437,0.438285,0.438186,1.344187,0.376540,1.251660
0.644260,0.638597,0.633054,0.627626,0.622308,0.617098,0.611991,0.606984,0.602075,0.597261,0.592541,0.587911,0.583371,0.578919,0.574554,0.570274,1.597809,0.136310,0.650879
0.739942,0.735872,0.731894,0.728004,0.724197,0.720469,0.716816,0.713234,0.709720,0.706271,0.702885,0.699558,0.696288,0.693073,0.689911,0.686799,1.359629,0.397519,1.116504
0.555702,0.550967,0.546350,0.541848,0.537457,0.533175,0.529001,0.524932,0.520968,0.517107,0.513349,0.509694,0.506141,0.502691,0.499344,0.496100,0.269338,0.390850,1.374121
0.561395,0.557402,0.553502,0.549693,0.545969,0.542328,0.538768,0.535284,0.531875,0.528540,0.525275,0.522079,0.518951,0.515889,0.512893,0.509960,0.157033,0.004381,0.742480
0.272724,0.270875,0.269063,0.267287,0.265545,0.263834,0.262154,0.260502,0.258878,0.257280,0.255707,0.254158,0.252631,0.251127,0.249644,0.248180,0.177622,0.083730,1.071191
0.726294,0.724901,0.723568,0.722292,0.721069,0.719898,0.718774,0.717695,0.716660,0.715667,0.714712,0.713794,0.712912,0.712064,0.711249,0.710464,0.665212,0.355234,1.182324
0.653206,0.649752,0.646458,0.643317,0.640325,0.637478,0.634769,0.632195,0.629752,0.627434,0.625238,0.623161,0.621197,0.619343,0.617595,0.615949,0.778920,0.236435,1.026855
0.766123,0.764295,0.762532,0.760829,0.759184,0.757594,0.756056,0.754567,0.753124,0.751727,0.750371,0.749056,0.747780,0.746541,0.745338,0.744168,1.490184,0.613568,1.355176
0.778143,0.777725,0.777333,0.776965,0.776620,0.776296,0.775991,0.775705,0.775437,0.775184,0.774947,0.774725,0.774516,0.774319,0.774135,0.773963,0.186045,0.257724,1.204395
0.658393,0.657321,0.656289,0.655295,0.654338,0.653415,0.652524,0.651664,0.650833,0.650029,0.649252,0.648499,0.647770,0.647064,0.646379,0.645716,0.451833,0.043011,0.708887
0.382051,0.377955,0.374124,0.370568,0.367297,0.364320,0.361644,0.359273,0.357208,0.355449,0.353988,0.352817,0.351924,0.351294,0.350909,0.350750,0.669891,0.064801,0.843848
0.673552,0.670708,0.667982,0.665369,0.662862,0.660459,0.658155,0.655945,0.653828,0.651798,0.649853,0.647990,0.646205,0.644495,0.642859,0.641292,1.858449,0.340249,0.987402
0.466552,0.462159,0.457838,0.453585,0.449396,0.445268,0.441197,0.437179,0.433213,0.429295,0.425423,0.421594,0.417807,0.414060,0.410351,0.406679,0.262787,0.005123,0.633691
0.367652,0.357987,0.348374,0.338814,0.329308,0.319865,0.310497,0.301222,0.292069,0.283076,0.274294,0.265790,0.257645,0.249957,0.242829,0.236368,0.953461,0.224076,1.186426
0.598744,0.594572,0.590499,0.586520,0.582632,0.578830,0.575111,0.571473,0.567911,0.564424,0.561008,0.557663,0.554385,0.551174,0.548027,0.544942,0.605784,0.166605,0.953613
0.435261,0.432072,0.429320,0.427011,0.425141,0.423704,0.422689,0.422080,0.421855,0.421989,0.422455,0.423224,0.424263,0.425545,0.427038,0.428716,1.551951,0.312913,1.136816
0.733342,0.732308,0.731341,0.730437,0.729593,0.728805,0.728070,0.727384,0.726745,0.726150,0.725596,0.725082,0.724605,0.724163,0.723754,0.723377,1.334361,0.414613,1.147363
0.783684,0.778939,0.774288,0.769726,0.765248,0.760850,0.756526,0.752273,0.748088,0.743968,0.739908,0.735906,0.731960,0.728067,0.724225,0.720430,1.352610,0.540219,1.324121
0.718698,0.717837,0.717000,0.716188,0.715397,0.714629,0.713880,0.713150,0.712439,0.711745,0.711067,0.710405,0.709758,0.709126,0.708507,0.707901,0.922577,0.163192,0.838770
0.495151,0.492466,0.489968,0.487650,0.485507,0.483532,0.481719,0.480063,0.478556,0.477194,0.475969,0.474875,0.473907,0.473059,0.472323,0.471695,1.202871,0.229077,1.045996
0.657145,0.653061,0.649081,0.645199,0.641411,0.637713,0.634100,0.630569,0.627117,0.623739,0.620434,0.617198,0.614029,0.610925,0.607883,0.604902,1.700287,0.321534,1.006348
0.408065,0.402127,0.396285,0.390537,0.384884,0.379329,0.373874,0.368524,0.363287,0.358171,0.353185,0.348341,0.343652,0.339132,0.334795,0.330656,0.492544,0.047343,0.855176
0.252000,0.251383,0.250782,0.250197,0.249627,0.249071,0.248528,0.247998,0.247479,0.246972,0.246476,0.245991,0.245515,0.245049,0.244592,0.244144,1.650218,0.000271,0.646973
0.638195,0.635322,0.632531,0.629820,0.627183,0.624618,0.622121,0.619689,0.617319,0.615008,0.612754,0.610554,0.608407,0.606309,0.604260,0.602258,1.806040,0.211634,0.832324
0.652710,0.651104,0.649541,0.648019,0.646535,0.645087,0.643674,0.642294,0.640945,0.639625,0.638335,0.637071,0.635833,0.634620,0.633431,0.632265,0.957204,0.185674,0.904199
0.722908,0.717777,0.712745,0.707807,0.702958,0.698193,0.693509,0.688901,0.684366,0.679900,0.675501,0.671166,0.666891,0.662676,0.658516,0.654412,0.098541,0.085386,0.986621
0.506723,0.502483,0.498335,0.494276,0.490302,0.486411,0.482599,0.478865,0.475207,0.471623,0.468112,0.464673,0.461305,0.458007,0.454779,0.451620,0.659597,0.066469,0.771777
0.662041,0.658696,0.655465,0.652342,0.649322,0.646402,0.643575,0.640840,0.638191,0.635626,0.633141,0.630733,0.628399,0.626136,0.623943,0.621816,1.977305,0.182255,0.677246
0.780526,0.779903,0.779297,0.778709,0.778136,0.777579,0.777036,0.776506,0.775989,0.775485,0.774993,0.774511,0.774040,0.773580,0.773129,0.772687,0.172007,0.036180,0.780957
0.568662,0.566093,0.563583,0.561129,0.558729,0.556379,0.554076,0.551820,0.549606,0.547435,0.545302,0.543208,0.541150,0.539126,0.537136,0.535178,0.777985,0.329311,1.205566
0.791230,0.790576,0.789994,0.789480,0.789028,0.788634,0.788295,0.788008,0.787768,0.787572,0.787418,0.787302,0.787223,0.787178,0.787165,0.787181,0.714813,0.117800,0.718066
0.552861,0.547146,0.541543,0.536045,0.530649,0.525350,0.520146,0.515032,0.510006,0.505065,0.500208,0.495432,0.490735,0.486116,0.481573,0.477106,1.728363,0.237414,0.958691
0.298977,0.292087,0.285615,0.279631,0.274212,0.269445,0.265417,0.262205,0.259865,0.258415,0.257833,0.258057,0.258996,0.260540,0.262580,0.265012,1.020376,0.114185,1.012988
0.515705,0.514453,0.513238,0.512059,0.510913,0.509799,0.508715,0.507660,0.506633,0.505631,0.504654,0.503701,0.502770,0.501861,0.500974,0.500106,0.598765,0.121664,0.927051
0.502764,0.496224,0.489759,0.483362,0.477029,0.470755,0.464536,0.458368,0.452248,0.446173,0.440142,0.434154,0.428207,0.422301,0.416436,0.410615,1.001658,0.224706,1.097949
0.727338,0.722085,0.717016,0.712129,0.707420,0.702889,0.698534,0.694353,0.690345,0.686510,0.682846,0.679352,0.676026,0.672866,0.669871,0.667038,0.537933,0.057770,0.610254
0.442916,0.442411,0.441929,0.441470,0.441031,0.440612,0.440211,0.439828,0.439460,0.439109,0.438771,0.438448,0.438138,0.437840,0.437554,0.437280,0.208038,0.177668,1.146777
0.707937,0.704779,0.701754,0.698859,0.696087,0.693435,0.690897,0.688469,0.686148,0.683929,0.681810,0.679786,0.677854,0.676011,0.674254,0.672579,1.193980,0.107745,0.630762
0.502887,0.502056,0.501345,0.500748,0.500258,0.499866,0.499568,0.499357,0.499226,0.499170,0.499185,0.499264,0.499404,0.499600,0.499847,0.500142,1.754567,0.310307,1.088770
0.754824,0.754024,0.753250,0.752499,0.751770,0.751063,0.750376,0.749707,0.749057,0.748424,0.747806,0.747205,0.746618,0.746045,0.745486,0.744939,1.104136,0.340142,1.060449
0.695922,0.692298,0.688782,0.685368,0.682054,0.678834,0.675706,0.672666,0.669712,0.666841,0.664050,0.661336,0.658698,0.656134,0.653642,0.651219,0.671295,0.124031,0.852637
0.646851,0.645047,0.643299,0.641604,0.639960,0.638362,0.636811,0.635301,0.633833,0.632404,0.631012,0.629655,0.628333,0.627043,0.625783,0.624554,1.342316,0.373078,1.132520
0.783969,0.781165,0.778440,0.775791,0.773213,0.770704,0.768259,0.765876,0.763553,0.761286,0.759073,0.756913,0.754802,0.752739,0.750723,0.748750,0.416738,0.072946,0.679590
0.492742,0.488154,0.483749,0.479529,0.475498,0.471658,0.468015,0.464570,0.461329,0.458294,0.455468,0.452852,0.450446,0.448249,0.446259,0.444470,0.199615,0.046083,0.937402
0.568727,0.568042,0.567408,0.566822,0.566280,0.565781,0.565320,0.564896,0.564507,0.564151,0.563825,0.563527,0.563257,0.563013,0.562793,0.562595,0.865021,0.287546,1.093262
0.739434,0.735810,0.732324,0.728971,0.725745,0.722642,0.719656,0.716785,0.714023,0.711368,0.708815,0.706361,0.704003,0.701738,0.699562,0.697474,1.035817,0.184813,0.799316
0.669068,0.667204,0.665405,0.663669,0.661992,0.660371,0.658803,0.657286,0.655818,0.654396,0.653018,0.651682,0.650387,0.649130,0.647910,0.646726,1.434031,0.105165,0.623730
0.415061,0.409765,0.404539,0.399377,0.394276,0.389229,0.384233,0.379284,0.374377,0.369511,0.364680,0.359883,0.355117,0.350379,0.345667,0.340978,0.736338,0.064653,0.845215
0.613812,0.610880,0.608137,0.605579,0.603198,0.600989,0.598945,0.597061,0.595331,0.593749,0.592308,0.591003,0.589827,0.588775,0.587840,0.587016,0.959544,0.443183,1.312012
0.736354,0.734744,0.733187,0.731680,0.730222,0.728809,0.727438,0.726108,0.724817,0.723563,0.722344,0.721159,0.720005,0.718882,0.717789,0.716723,1.504222,0.180919,0.697949
0.651784,0.649940,0.648149,0.646408,0.644713,0.643063,0.641456,0.639888,0.638359,0.636866,0.635409,0.633984,0.632591,0.631229,0.629895,0.628590,1.164032,0.119543,0.704590
0.718476,0.715880,0.713377,0.710963,0.708633,0.706384,0.704213,0.702115,0.700087,0.698128,0.696234,0.694402,0.692630,0.690916,0.689258,0.687654,1.364309,0.336916,1.017480
0.401603,0.399355,0.397310,0.395462,0.393807,0.392337,0.391046,0.389928,0.388975,0.388179,0.387532,0.387026,0.386654,0.386406,0.386275,0.386252,1.028798,0.391356,1.326660
0.678515,0.674714,0.671026,0.667445,0.663968,0.660590,0.657309,0.654120,0.651020,0.648007,0.645078,0.642231,0.639462,0.636771,0.634154,0.631610,1.426076,0.219226,0.852832
0.477217,0.476543,0.475900,0.475287,0.474703,0.474145,0.473613,0.473104,0.472618,0.472153,0.471708,0.471282,0.470875,0.470484,0.470111,0.469752,1.706370,0.077046,0.656348
0.688359,0.685029,0.681836,0.678775,0.675842,0.673032,0.670340,0.667763,0.665297,0.662937,0.660681,0.658524,0.656464,0.654497,0.652619,0.650829,1.902435,0.543179,1.281348
0.572369,0.571395,0.570468,0.569585,0.568742,0.567937,0.567170,0.566436,0.565736,0.565066,0.564426,0.563814,0.563228,0.562668,0.562132,0.561619,0.325490,0.034929,0.809473
0.388050,0.382716,0.377426,0.372171,0.366948,0.361748,0.356566,0.351397,0.346235,0.341073,0.335907,0.330731,0.325538,0.320323,0.315079,0.309802,0.688609,0.098234,0.952246
0.319343,0.311594,0.304094,0.296908,0.290121,0.283839,0.278192,0.273314,0.269338,0.266359,0.264422,0.263499,0.263501,0.264299,0.265746,0.267699,0.358246,0.094552,1.069238
0.815155,0.814897,0.814647,0.814404,0.814169,0.813940,0.813717,0.813501,0.813290,0.813084,0.812884,0.812689,0.812498,0.812311,0.812129,0.811951,1.158417,0.514934,1.250684
0.815112,0.814941,0.814778,0.814621,0.814471,0.814326,0.814186,0.814052,0.813923,0.813797,0.813677,0.813560,0.813447,0.813338,0.813232,0.813130,0.990428,0.316667,1.008105
0.777022,0.776785,0.776574,0.776386,0.776220,0.776074,0.775947,0.775837,0.775744,0.775666,0.775601,0.775550,0.775511,0.775484,0.775468,0.775461,0.526235,0.109475,0.777637
0.336141,0.328944,0.321808,0.314730,0.307706,0.300736,0.293821,0.286966,0.280178,0.273469,0.266854,0.260357,0.254005,0.247833,0.241883,0.236202,0.720428,0.027266,0.699121
0.509303,0.504530,0.499844,0.495240,0.490714,0.486261,0.481878,0.477562,0.473308,0.469114,0.464977,0.460894,0.456864,0.452883,0.448950,0.445063,1.683909,0.277158,1.049316
0.604661,0.604563,0.604472,0.604385,0.604302,0.604224,0.604150,0.604080,0.604013,0.603950,0.603890,0.603832,0.603778,0.603725,0.603676,0.603629,1.730235,0.514293,1.282324
0.786818,0.782321,0.777982,0.773797,0.769761,0.765869,0.762117,0.758503,0.755021,0.751670,0.748447,0.745347,0.742368,0.739509,0.736765,0.734134,0.179026,0.183497,1.101660
0.371073,0.363317,0.355897,0.348909,0.342476,0.336792,0.332053,0.328498,0.326323,0.325601,0.326245,0.328040,0.330721,0.334035,0.337782,0.341805,0.089183,0.252023,1.252637
